Ver. 4 7 real time data, czwartek, 27 sierpieñ 2026 06:37:35
TEMPO	GIRI	LAMBDA	GAS	BENZ	PRESS	MAP	T.RID	T.GAS	LIV	SLOW	FAST	OX	MARKER	AUTOMARKER	ECUMARKER
42438	1256	0.550000	1.760000	0.860000	1.490000	0.610000	55.000000	6.000000	123	0.000000	0.000000	0.000000	0	0	0	
42641	1095	0.550000	10.540000	9.410000	1.500000	0.670000	55.000000	6.000000	123	0.000000	0.000000	0.000000	0	0	0	
42860	927	0.550000	1.630000	0.800000	1.500000	0.740000	55.000000	6.000000	155	0.000000	0.000000	0.000000	0	0	0	
43094	1142	0.550000	9.960000	8.870000	1.500000	0.680000	55.000000	6.000000	180	0.000000	0.000000	0.000000	0	0	0	
43313	1281	0.550000	10.170000	9.090000	1.510000	0.650000	55.000000	6.000000	179	0.000000	0.000000	0.000000	0	0	0	
43547	1372	0.550000	9.500000	7.990000	1.480000	0.650000	55.000000	6.000000	72	0.000000	0.000000	0.000000	0	0	0	
43828	1501	0.550000	10.170000	8.420000	1.500000	0.640000	55.000000	6.000000	106	0.000000	0.000000	0.000000	0	0	0	
44156	1672	0.550000	9.660000	7.910000	1.480000	0.630000	55.000000	6.000000	122	0.000000	0.000000	0.000000	0	0	0	
44391	1772	0.550000	8.840000	7.220000	1.490000	0.610000	55.000000	6.000000	123	0.000000	0.000000	0.000000	0	0	0	
44610	1854	0.550000	7.620000	0.810000	1.480000	0.590000	55.000000	6.000000	123	0.000000	0.000000	0.000000	0	0	0	
44860	1960	0.550000	10.180000	0.830000	1.450000	0.640000	55.000000	6.000000	123	0.000000	0.000000	0.000000	0	0	0	
45094	2098	0.550000	12.830000	10.410000	1.420000	0.750000	55.000000	6.000000	72	0.000000	0.000000	0.000000	0	0	0	
45328	2257	0.550000	12.360000	9.640000	1.450000	0.720000	55.000000	6.000000	106	0.000000	0.000000	0.000000	0	0	0	
45563	2393	0.550000	4.500000	3.650000	1.560000	0.580000	55.000000	6.000000	106	0.000000	0.000000	0.000000	0	0	0	
45813	2029	0.550000	0.000000	0.000000	1.650000	0.370000	55.000000	6.000000	126	0.000000	0.000000	0.000000	0	0	0	
46063	1584	0.550000	0.000000	0.000000	1.650000	0.370000	55.000000	6.000000	106	0.000000	0.000000	0.000000	0	0	0	
46281	1270	0.550000	6.200000	4.880000	1.530000	0.380000	55.000000	7.000000	106	0.000000	0.000000	0.000000	0	0	0	
46547	1380	0.550000	7.880000	6.260000	1.470000	0.430000	55.000000	7.000000	240	0.000000	0.000000	0.000000	0	0	0	
